# 15310 - LN 	CL
# 490 	CL
# W7079 	CL
158 . 2 	CL
1580WU 	CL
15b 	CL
15B2 	CL
15C6 [ Mouse hybridoma ] 	CL
15C6 [ Mouse / rat hybridoma ] 	CL
15F3 - 1 	CL
15F7 	CL
15P - 1 	CL
15PC3 	CL
16 - 1 - 11N 	CL
16 - 1 - 2N 	CL
16 - 10A1 	CL
16 - 3 - 1N 	CL
16 - 3 - 22S 	CL
16 - 8 	CL
160 BLCL 	CL
1604hTERT 	CL
161 BLCL 	CL
1616 - EB 	CL
1616 - MUC1 	CL
161BR 	CL
162 	CL
162 - 21 . 2 	CL
162 - 46 . 2 	CL
163 BLCL 	CL
164 BLCL 	CL
164 - 3F3 	CL
164T2 	CL
165 - 34E4 	CL
166 BLCL 	CL
166 - ME SK 	CL
16610D9 	CL
167 BLCL 	CL
168 BLCL 	CL
1682A 	CL
16B 	CL
16H3 	CL
16HBE14o - 	CL
16M3F10 	CL
17 - 1 	CL
17 - 3 - 3S 	CL
17 - 94 	CL
17 / 14 	CL
170 BLCL 	CL
171 - 10E5 	CL
171 - 11B9 	CL
171 - 19B10 	CL
171 - 4 	CL
171BR 	CL
172 - 12A4 	CL
172 - 12G7 	CL
173 - 1C11 	CL
173 - 8D2 	CL
173E 	CL
174BR 	CL
175BR 	CL
1777N Rpmet 	CL
17a 	CL
17aba 	CL
17b 	CL
17D 	CL
18 - 9B10 	CL
180BR 	CL
180D 	CL
182 - PF SK 	CL
183 BLCL 	CL
183 - 1 	CL
184 	CL
184 - hTERT 	CL
184A1 	CL
184A1N4 	CL
184B5 	CL
187 - 1 	CL
187 . 1 	CL
18a 	CL
18b 	CL
18c 	CL
18C2 . 8 . 3 	CL
19 - 7 	CL
191 	CL
192B 	CL
193 BLCL 	CL
1939 - 3G5 	CL
1939 - 8G2 	CL
194 BLCL 	CL
196 BLCL 	CL
197 BLCL 	CL
198 	CL
199 BLCL 	CL
19F8 	CL
1A2 	CL
1A3 	CL
1A3 . 1 	CL
1A3 . 3 . 13 	CL
1A6 	CL
1A81 	CL
1A9 	CL
1A9PTX10 	CL
1A9PTX15 	CL
1A9PTX22 	CL
1B1 . 1 	CL
1B10 	CL
1B2 - 1B7 	CL
1B2A3 	CL
1B7 . 11 	CL
1B8 - F11 	CL
1BR . 3 . G 	CL
1BR . 3 . GN 	CL
1BR . 3 . N 	CL
1BR3 	CL
1C3 	CL
1C6 	CL
1C9 	CL
1Cc8 	CL
1D11 . 16 . 8 	CL
1D3 	CL
1D4 	CL
1E7 	CL
1E8 [ Human leukemia ] 	CL
1E8 [ Mouse hybridoma ] 	CL
1F5 	CL
1F6 	CL
1G1 	CL
1G10 	CL
1G10 . 1 . 5 	CL
1G12 	CL
1G2 	CL
1G3 	CL
1G8 	CL
1H 	CL
1H10 - 6 	CL
1H11 	CL
1H3 	CL
1HAEo - 	CL
1HB 	CL
1xN / 2b 	CL
2 - 179 - E11 	CL
2 . 03 . 7 	CL
2 . 040 pRSV - T 	CL
2 . 28 M1 	CL
2 . 43 	CL
2 . 4G2 	CL
20 	CL
20 - 10 - 5S 	CL
20 - 8 - 4S 	CL
20 . 3 	CL
20 . 6 . 5 	CL
20 . 76 	CL
200 BLCL 	CL
200 - 3 - G6 - 4 	CL
2008 / C13 * 5 . 25 	CL
200D 	CL
201 BLCL 	CL
201 - 45E9 	CL
2012 	CL
2013 	CL
2018 	CL
201B1 	CL
201B2 	CL
201B3 	CL
201B6 	CL
201B7 	CL
202 BLCL 	CL
202 - 11A8 	CL
202 - 9D10 	CL
202002 	CL
203 BLCL 	CL
203 - 6F5 	CL
203 - 7D10 	CL
204 - 3 	CL
204 - 4 	CL
2041 	CL
2044L 	CL
205 BLCL 	CL
2061H 	CL
207 	CL
208 - 2 	CL
208F 	CL
2094 	CL
20b 	CL
20B8 	CL
20C2 	CL
20H11 	CL
20H2 	CL
2102EP 	CL
2102ER 	CL
2106LN 	CL
2106T 	CL
211 BLCL 	CL
211 - LCL 	CL
211 - LCL - MUC1 	CL
212 BLCL 	CL
213 BLCL 	CL
214 BLCL 	CL
215 BLCL 	CL
215 - 2 	CL
216 BLCL 	CL
219 	CL
219 BLCL 	CL
21MT - 1 	CL
21MT - 2 	CL
21NT 	CL
21PT 	CL
220 BLCL 	CL
2211 	CL
222 BLCL 	CL
222 - 35C8 	CL
223 BLCL 	CL
224 BLCL 	CL
225 	CL
225 BLCL 	CL
225 - 1 	CL
225 - G11 	CL
2254 - 62 . 2 	CL
226H 	CL
227 BLCL 	CL
22D6 	CL
22Rv1 	CL
23 ScCr 	CL
230 BLCL 	CL
230699 	CL
230C 	CL
23132 / 87 	CL
232 	CL
233 BLCL 	CL
234 BLCL 	CL
236L 	CL
239 BLCL 	CL
23A - 5 - 21S 	CL
23B6 	CL
23CLN 	CL
240 - 13D10 	CL
240A 	CL
240E1 - 1 	CL
240E1 - 1 - 2 	CL
242 BLCL 	CL
2427T 	CL
243 	CL
243H1 	CL
243H7 	CL
245 BLCL 	CL
245A 	CL
245E7 	CL
246 BLCL 	CL
246B1 	CL
246B2 	CL
246B3 	CL
246B4 	CL
246B5 	CL
246B6 	CL
246G1 	CL
246G3 	CL
246G4 	CL
246G5 	CL
246G6 	CL
247 BLCL 	CL
2474 / 90 	CL
249L4 	CL
24IA2E2E10D5 	CL
25 - 32 	CL
25 - 5 - 16S 	CL
25 - 9 - 17S 	CL
25 - 9 - 17S II 	CL
25 - 9 - 3S 	CL
25 / 1506 	CL
250 - 9G06 	CL
251 BLCL 	CL
252 BLCL 	CL
253D 	CL
253F1 	CL
253F2 	CL
253F3 	CL
253F4 	CL
253F5 	CL
253G1 	CL
253J 	CL
253J laval 	CL
253J - BV 	CL
253J - P 	CL
256 BLCL 	CL
2563 	CL
257 BLCL 	CL
259 BLCL 	CL
26 - 7 - 11S 	CL
26 - 8 - 16S 	CL
26 / 27 	CL
260 - 33C4 	CL
260F9 	CL
260F9 - 1C9 	CL
262C 	CL
264E 	CL
265A 	CL
266 - 6 	CL
266B2 	CL
267B1 	CL
267B1 / K - Ras 	CL
267T2 	CL
26931 	CL
26CB - 1 	CL
26ic 	CL
2708 	CL
272E1 	CL
272E4 	CL
274D 	CL
277 - LCL 	CL
27b 	CL
27e 	CL
28 - 11 - 5S 	CL
28 - 13 - 3S 	CL
28 - 14 - 8S 	CL
28 - 16 - 8S 	CL
28 - 8 - 6S 	CL
280599 	CL
280A 	CL
280B 	CL
280D11 	CL
283TAg 	CL
286 - 1 	CL
287 - 3 	CL
288 - 3 	CL
28S . 3 	CL
290 - 4E10 	CL
293 c18 	CL
293 EcR Shh 	CL
293 GTP - AC - free 	CL
293 N3S 	CL
293 - CD40 	CL
293 - Db 	CL
293 - Hektor 	CL
293 - IL - 1RI 	CL
293 - Kb 	CL
293 - LA 	CL
293 - PERV - PK - CIRCE 	CL
293 - VnR 	CL
293 / 5 - HT7 / CRE - Luc 	CL
293 / ADORA1 / Galpha15 	CL
293 / ADRB3 / CRE - Luc 	CL
293 / CHE - Fc 	CL
293 / CRE - Luc 	CL
293 / CrmA 	CL
293 / D4 	CL
293 / EP1 	CL
293 / EP4 	CL
293 / FP / Galpha15 	CL
293 / GHRH / Galpha15 	CL
293 / H1 	CL
293 / MC3 / CRE - Luc 	CL
293 / MCH1 	CL
293 / NPY1 	CL
293 / PTH2 / CRE - Luc 	CL
293 / TP 	CL
293B9 	CL
293GP 	CL
293T / AT1 	CL
293T / NMU2 	CL
293TsiLL 	CL
2957 / 90 	CL
296 	CL
29A 	CL
29B 	CL
29d 	CL
29e 	CL
2A 	CL
2A1 	CL
2A11 	CL
2A2 - 6E10 - 1D8 	CL
2A3A1H 	CL
2A5 [ Mouse hybridoma ] 	CL
2A5 [ Rat hybridoma ] 	CL
2AB1 - IA10 	CL
2B5 	CL
2B5 . 3 	CL
2B7 	CL
2B8 	CL
2BD4E4 K99 	CL
2BN 	CL
2BNhTERT 	CL
2BNneo 	CL
2C012 	CL
2C067 	CL
2C076 	CL
2C087 	CL
2C088 	CL
2C089 	CL
2C090 	CL
2C092 	CL
2C100 	CL
2C101 	CL
2C114 	CL
2C116 	CL
2C118 	CL
2C122 	CL
2C123 	CL
2C1H7 	CL
2C4 	CL
2C5 - 6 	CL
2D - 7 	CL
2D10 	CL
2D12 	CL
2D4 	CL
2D7F10 	CL
2D9 	CL
2E . 6 	CL
2E10 - H2 	CL
2E6 	CL
2E8 	CL
2F - 2B 	CL
2F . 11 . 15 	CL
2F7 	CL
2F8 	CL
2FLB . Ln 	CL
2fTGH 	CL
2G3 [ Mouse hybridoma FcRn ] 	CL
2G3 [ Mouse hybridoma HMW mucin ] 	CL
2G7 	CL
2G8 . D6 	CL
2H - 11 	CL
2H6 - C2 	CL
2Hx - 2 	CL
2LBLN 	CL
2M6 	CL
2MAC 	CL
2PK - 3 	CL
2T 	CL
2T8 - 3E10 	CL
2TS22C 	CL
2V6 . 11 	CL
3 - 2H3 	CL
3 - 83P 	CL
3 . 155 	CL
3 . 334 SC5 / 8 	CL
3 . C2 	CL
3 ' - mRLh - 2 	CL
3 ' - mRLN - 30 	CL
3 ' - mRLN - 31 	CL
30 	CL
30 - 5 - 7S 	CL
30 - C7 	CL
30 - H12 	CL
30 / 15 	CL
300 . 19 	CL
302 - 1 	CL
3051 / 80 	CL
305M 	CL
308TAg 	CL
30A5 	CL
30F 	CL
31 - 3 - 4S 	CL
31-42-19 	CL
31-90-25 	CL
310 - 29F7 	CL
310 - 5F5 	CL
311 - 3D4 	CL
312 - 13E8 	CL
31227ABO 	CL
3134 	CL
31708 	CL
317G5 . C1D3 	CL
3197 - 3 	CL
31E 	CL
31E9 	CL
31F4L 	CL
32 - 2B 	CL
32 . 2 	CL
32 / 32 	CL
32 / 37 	CL
32367 	CL
32511 	CL
328 / 10 	CL
328 / 11 	CL
328 / 12 	CL
328 / 14 	CL
328 / 7 	CL
328 / 8 	CL
328 / 9 	CL
32B11 	CL
32D 	CL
32Dcl3 	CL
33 - 3D 	CL
331 . 12 	CL
337 - 3 	CL
339 - 1 	CL
33B 	CL
33D1 	CL
33F8 	CL
34 	CL
34 - 1 - 2S 	CL
34 - 2 - 12S 	CL
34 - 4 - 20S 	CL
34 - 4 - 21S 	CL
34 - 5 - 3S 	CL
34 - 5 - 8S 	CL
34 - 7 - 23S 	CL
347C2 	CL
347C2b / D4 	CL
348C6 	CL
34T 	CL
35 	CL
35 E 10 	CL
35 . 1 	CL
35 . 6 	CL
35020 	CL
351D2 / D7 	CL
356 - 1 	CL
357-101-4 	CL
357-167-24 	CL
35841 	CL
359-238-8 	CL
359-81-11 	CL
36 	CL
36 BLCL 	CL
36 . 5 	CL
360 - 27E06 	CL
361 - 31C05 	CL
3677 	CL
369F10 	CL
36B10 	CL
36F - 18C 	CL
37 BLCL 	CL
37 . 04 . 12 	CL
372 	CL
38 - 1 	CL
38 . 1 	CL
380 	CL
39 BLCL 	CL
39 - S 	CL
397 - mel 	CL
3A sub E 	CL
3A ( tPA - 30 - 1 ) 	CL
3A10 	CL
3A2 	CL
3A21 	CL
3A5 	CL
3A8 	CL
3A9 	CL
3B - 11 	CL
3B11 	CL
3B18 	CL
3C10 	CL
3C11 	CL
3C5 . 1 	CL
3C6 	CL
3C7 . 2 	CL
3C9 - D11 - H11 	CL
3D5 	CL
3E1 	CL
3E9 	CL
3F11 . 3 	CL
3F6 	CL
3G3 	CL
3G5 	CL
3G8 	CL
3G9F3 	CL
3H5 - 1 	CL
3H9 	CL
3J1 	CL
3LBLN 	CL
3LL 	CL
3NA12 	CL
3Pt12B8 	CL
3SB 	CL
3T3 MEFs KO 	CL
3T3 MEFs WT 	CL
3T3 - MSV 	CL
3T3 - Swiss albino 	CL
3T3 ( + 3 ) 	CL
3T3C2 	CL
3T3F442A 	CL
3T3L1 	CL
3T6 - Swiss albino 	CL
3Y1 - B cl 1 - 6 - K5 - 4 - 2 	CL
3Y1 - B clone 1 	CL
3Y1 - B clone 1 - 6 	CL
3Y1 - B clone 1-6-2 	CL
3Y1 - SB - 15 	CL
3Y1 - SB - 16 	CL
3Y1ts - 101 	CL
3Y1ts - 103 	CL
3Y1ts - 104 	CL
3Y1ts - 105 	CL
3Y1ts - 108 	CL
3Y1ts - 109 	CL
3Y1ts - 111 	CL
3Y1ts - 114 	CL
3Y1ts - 115 	CL
3Y1ts - 117 	CL
3Y1ts - 118 	CL
3Y1ts - 120 	CL
3Y1ts - 122 	CL
3Y1ts - 201 	CL
3Y1ts - 202 	CL
3Y1tsA106 	CL
3Y1tsB107 	CL
3Y1tsC102 	CL
3Y1tsC112 	CL
3Y1tsC113 	CL
3Y1tsC116 	CL
3Y1tsC119 	CL
3Y1tsC205 	CL
3Y1tsD123 	CL
3Y1tsD124 	CL
3Y1tsD206 	CL
3Y1tsE204 	CL
3Y1tsF121 	CL
3Y1tsF126 	CL
3Y1tsG125 	CL
3Y1tsH203 	CL
4 - 1 . 10 	CL
4 - 11 	CL
4 - 1st 	CL
4 - 2C11 	CL
4 - 2D 	CL
4 - 8H 	CL
4 . 6 . 5a114K 	CL
4 / 30PRR 	CL
4 / 4 R . M . - 4 	CL
40 BLCL 	CL
40 . 10 . 09 	CL
409B2 	CL
41 - 2 	CL
41 - 3 . 48 	CL
411 - 14E10 	CL
413 - 15D12 	CL
416B 	CL
41M 	CL
41McisR 	CL
42 - MG - BA 	CL
42 . 08 . 07 	CL
427 . 1 	CL
427 . 1 . 86 	CL
42TA 	CL
430F 	CL
435 . eB 	CL
43L 	CL
44 - 2 	CL
44 - 3C1 	CL
44 . 22 . 1 	CL
443 - 15D3 - 2F12 	CL
443 - 17F9 - 1C6 	CL
4470 	CL
4475 	CL
448 - D 100 , 10 , 1 	CL
4483 	CL
44aacb 	CL
45 . 6 . TG1 . 7 	CL
451Lu 	CL
452F2 - 1B2 	CL
454C11 	CL
455 	CL
46 - 2 	CL
46 - 4 	CL
46 - 5 	CL
46 / 4 	CL
4647 	CL
46BR 	CL
46BR . 1G1 	CL
46BR . 1N 	CL
46BRLigI 	CL
47 BLCL 	CL
47 . 10 	CL
48 	CL
48 BLCL 	CL
486P 	CL
49 BLCL 	CL
4A4B11 	CL
4A6 	CL
4B2 	CL
4B2 - 6C3 - 1C9 	CL
4BG 	CL
4C 	CL
4C2 . 4A7 . 5H11 	CL
4C4 	CL
4C5G 	CL
4C7 . 2 . 1 	CL
4C9 	CL
4D1 . 5 . 7 	CL
4D11 	CL
4D12 	CL
4D3 	CL
4D4 	CL
4D9D4 	CL
4E11 	CL
4E8C12 	CL
4F2C13 	CL
4G12 	CL
4H1 - A7 	CL
4MBr - 5 	CL
4nH1 	CL
4SB3 	CL
4T 	CL
4T1 	CL
4T1 - Luc 	CL
4T1 - luc2 	CL
4TO7 	CL
5 - 8F 	CL
5 / 9 m a3 - 18 	CL
50 AZA SEL 	CL
50-11-10 	CL
50 - 6 	CL
501 - mel 	CL
505-05-01 	CL
50B11 	CL
51 BLCL 	CL
51 . 1 	CL
514 	CL
51B 	CL
51B LiM - 1 	CL
51B LiM - 2 	CL
51B LiM - 3 	CL
51B LiM - 4 	CL
51B LiM - 5 	CL
51B LiM - 6 	CL
52 	CL
52 - 3D 	CL
52 - S 	CL
520C9 	CL
526 - mel 	CL
528 	CL
53 - 6 . 72 	CL
53 - 7 . 313 	CL
53 - S 	CL
537 - B1 - 1 	CL
537 - mel 	CL
53B3 	CL
548 	CL
54B3 	CL
54SCC2 	CL
54SCC3 	CL
54SCC7 	CL
55 - 2 	CL
55 - 36 	CL
55 - 6 	CL
55 - 83 	CL
551 - iPS8 	CL
553 - mel 	CL
558 - D 100 , 10 , 1 	CL
559 / 64 - D 100 , 10 , 1 	CL
56 / 10 A1 	CL
5637 	CL
56B3 	CL
575A 	CL
577MF 	CL
577ML 	CL
577MR 	CL
579 	CL
58 - S 	CL
58967 NRK 	CL
59 - 3 	CL
591 	CL
598RCC 	CL
59B5 	CL
59M 	CL
5A1 	CL
5A5 - WASP 	CL
5B6 . 3 . 10 	CL
5C6 Clone 1 	CL
5C6 . 10 . 4 	CL
5c8 	CL
5C9 	CL
5D12 	CL
5D4 - 11 	CL
5D5 . 11 . 6 	CL
5E4 	CL
5E9C11 	CL
5F12 AD3 	CL
5G2 	CL
5G3 	CL
5G5 	CL
5H6 	CL
5H8 	CL
5L 	CL
5LBLN 	CL
5RP7 	CL
5T33 	CL
6 - 10B 	CL
6 - 23 	CL
6 - 23 ( clone 6 ) 	CL
6 - MP 	CL
6 . 1 . 1 	CL
6 . 1 . 11 	CL
6 . 1 . 7 	CL
6 . 12 	CL
6 . 23 . 58K 	CL
60 	CL
600MPE 	CL
609050M 	CL
60bca 	CL
60H9 ( 9 ) D10 . E6 	CL
61 	CL
61 / 7 	CL
62 . 1E6 	CL
624 - mel 	CL
624 . 28 Mel 	CL
624 . 38 Mel 	CL
63 BLCL 	CL
633 	CL
639V 	CL
63D3 	CL
647V 	CL
650E2 - 2B12 	CL
66 [ Human iPS ] 	CL
66 [ Mouse mammary tumor ] 	CL
661W 	CL
6647 	CL
665 / 2 	CL
66cl - 4 	CL
67 	CL
67 - 1 	CL
677 - mel 	CL
67I 	CL
67NR 	CL
67T 	CL
68-1-2 	CL
686LN - M3e 	CL
686LN - M4e 	CL
686LN - R30 	CL
697 	CL
697 - mel 	CL
6A7M 	CL
6A8 . 6F10 . 1A6 	CL
6C3HED - OG 	CL
6D11 . 3 . 1 	CL
6D3 . 4 . 4 	CL
6D8MB4 	CL
6E6 	CL
6F11 	CL
6F4C5 	CL
6G4 . 2 . 5 	CL
6H 	CL
6LBLN 	CL
6T - CEM 	CL
7 - 17 	CL
7-34-1 	CL
7 - TD - 1 	CL
7 . 107 pRSV - T 	CL
7 . 4 . C4 	CL
701 - LCL 	CL
703D4 	CL
707 . fl 	CL
707B1011C3 	CL
70Z / 3 	CL
71 BLCL 	CL
71A7 	CL
720 	CL
72A1 	CL
73 / 1 	CL
7316A 	CL
73B 	CL
74 BLCL 	CL
74-11-10 	CL
74-12-4 	CL
74-22-15 	CL
74 - 22 - 15A 	CL
74-9-3 	CL
741F8 - 2B9 	CL
743E 	CL
745C2 	CL
7501 	CL
751G 	CL
751 - NA - 15 	CL
76 BLCL 	CL
76-2-11 	CL
76-5-28 	CL
76-6-7 	CL
76-7-4 	CL
7603830 	CL
769 - P 	CL
77N1 	CL
78 BLCL 	CL
7800C1 	CL
786 - O 	CL
786 - O - Luc 	CL
791T 	CL
7926 	CL
7A9 	CL
7AC5 / EYFP 	CL
7B6 . 15 . 11 	CL
7C2 	CL
7C2C5C12 	CL
7C6 . 5 . 4 	CL
7C8 	CL
7D2 - 1 . 4 . 1 . 5 	CL
7D3A . 2 	CL
7D4 	CL
7E11C5 	CL
7E12H12 	CL
7E3 	CL
7E9 	CL
7F2 	CL
7F2 - 6D4 - 8E7 	CL
7G7B6 	CL
7GP 	CL
7GP122 	CL
7R2 / A4 	CL
8 - MG - BA 	CL
8 . 03 	CL
8 . 2 	CL
80 V 5B4 	CL
80 - 1 	CL
8029 DDP4 	CL
8029 NA 	CL
802C11 	CL
803 - 15 . 6 	CL
804 G 	CL
807 . 15 	CL
807 . 31 	CL
807 . 33 	CL
80T 	CL
81 . 3 	CL
818 - 1 	CL
818 - 4 	CL
818 - 7 	CL
83-12-5 	CL
8305C 	CL
833K - E 	CL
833K - LC 	CL
836 - mel 	CL
8387 	CL
84 BLCL 	CL
84BR 	CL
8505C 	CL
859H5 	CL
86 BLCL 	CL
86 - 2 	CL
86 - 3 	CL
862L 	CL
866MT 	CL
86D 	CL
86HG39 	CL
87 - 5 	CL
8701 - BC 	CL
8709 	CL
88 BLCL 	CL
884F11 	CL
888 - mel 	CL
888A2 mel 	CL
88B 	CL
88TAg 	CL
89MS30 	CL
8A12 [ Mouse hybridoma against guinea pig MBP ] 	CL
8A12 [ Mouse hybridoma against IL - 22R ] 	CL
8A2N 	CL
8A3B . 6 	CL
8B1B . 1 	CL
8C9 	CL
8D12 	CL
8E11 . 9 	CL
8E5 	CL
8E7 	CL
8H11 	CL
9 - 15c 	CL
9 - 1A11 	CL
9-2-4 	CL
9 - 4 	CL
9-4-3 	CL
9 - A5 	CL
9 - B1 	CL
9 . 0 . 4 . C43 	CL
9 . 3F10 	CL
9 . 4 	CL
9 / 3L 	CL
90 BLCL 	CL
90 . 74 	CL
90196B 	CL
90P 	CL
90P - hTERT 	CL
90PE6E7 	CL
91 . 1 . F1 	CL
91MS441 	CL
92 - 1 	CL
92 - 2 	CL
92BR 	CL
92TAg 	CL
93 BLCL 	CL
938 - mel 	CL
93VU147T 	CL
94 - 10 	CL
94 - H4 	CL
94 - H48 	CL
9479 	CL
94A1 	CL
95 - H1 	CL
95 - H12 	CL
95 - H3 	CL
96 - 1 	CL
96 - 11 	CL
96 - 12 	CL
96 - 13 	CL
96 - 16 	CL
96 - 2 	CL
96 - 9 	CL
97 - 1 	CL
97 - 10 	CL
97 - 15 	CL
97 - 18 - I 	CL
97 - 21 - M 	CL
97 - 24 	CL
97 - 29 	CL
97 - 5 	CL
97 - 6 	CL
97 - 7 	CL
99S6 	CL
99S9 	CL
9AE10 	CL
9BG5 	CL
9D10 	CL
9D4 . 9 . 1 	CL
9D9 	CL
9F12 	CL
